,ADDRLOSRC,ADDRHISRC,R/W,WMEMSRC,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,SPSRC,PCLOSRC,PCHISRC,Status,INCPC,OPCODECTRL,STARTFETCH,STARTDECODE,CSKIP,Stop uCode
BRK,1,SP,W,PCLO,SP,0,1,0,+,ALUOUT,,,,0,0,,,,
,1,SP,W,PCHI,SP,0,1,0,+,ALUOUT,,,,0,0,,,,
,1,SP,W,status,SP,0,1,0,+,ALUOUT,,,,0,0,,,,
,FF,FE,R,,,,,,,,,,,0,0,,,,
,FF,FF,R,,,,,,,,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
RTI,1,SP,R,,SP,0,0,1,+,ALUOUT,,,,0,0,,,,
,1,SP,R,,SP,0,0,1,+,ALUOUT,,,,0,0,,,,
,1,SP,R,,SP,0,0,1,+,ALUOUT,,,RMEM,0,0,,,,
,1,SP,R,,,,,,,,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
RTS,1,SP,R,,,,,,,,,,,0,0,,,,
,1,SP,R,,,,,,,,,,,0,0,,,,
,1,SP,R,,,,,,,,RMEM,,,0,0,,,,
,PCLO,PCHI,R,,,,,,,,,RMEM,,1,0,1,,,1
PH,1,SP,W,instr_str,SP,0,1,0,+,ALUOUT,,,,0,0,1,,,1
PL,1,SP,R,,SP,0,0,1,+,ALUOUT,,,,0,0,,,,
,1,SP,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
JSR,1,SP,R,,,,,,,,,,,0,0,,,,
,1,SP,W,,SP,0,1,0,+,ALUOUT,,,,0,0,,,,
,1,SP,W,,SP,0,1,0,+,ALUOUT,,,,0,0,,,,
,PCLO,PCHI,R,,,,,,,,RMEMBUFFER,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
IMP,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ACC,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
IMM,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ABSJMP,PCLO,PCHI,R,,,,,,,,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
ABSR,PCLO,PCHI,R,,,,,,,,,,,1,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ABSRMW,PCLO,PCHI,R,,,,,,,,,,,1,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
ABSW,PCLO,PCHI,R,,,,,,,,,,,1,0,,,,
,RMEMBUFFER,RMEM,W,instr_str,,,,,,,,,,0,0,1,,,1
ZPR,0,RMEM,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ZPRMW,0,RMEM,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
ZPW,0,RMEM,W,instr_str,,,,,,,,,,0,0,1,,,1
ZPXR,0,RMEM,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ZPYR,0,RMEM,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ZPXRMW,0,RMEM,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,R,,,,,,,,,,,0,0,,,,
,,,W,RMEM,,,,,,,,,,0,1,,,,
,,,W,,,,,,,,,,,0,2,1,,,1
ZPXW,0,RMEM,R,,X,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,W,instr_str,,,,,,,,,,0,0,1,,,1
ZPYW,0,RMEM,R,,Y,RMEM,0,0,+,,,,,0,0,,,,
,0,ALUOUT,W,instr_str,,,,,,,,,,0,0,1,,,1
ABSXR,PCLO,PCHI,R,,X,RMEM,0,0,+,,,,,1,0,,,,
