instr,,ALUOUTDST,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,ZEROSRC,NEGSRC,CARSRC,OVRSRC,INTSRC,BRKSRC,DECSRC,BRANCHBIT,BRANCHINV,STORE
LDA,M -> A,A,RM,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
LDX,M -> X,X,RM,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
LDY,M -> Y,Y,RM,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
STA,A -> M,,,,,,,,,,,,,,,,A
STX,X -> M,,,,,,,,,,,,,,,,X
STY,Y -> M,,,,,,,,,,,,,,,,Y
ADC,A + M + C -> A,A,A,RM,0,C,+,ALUOUT,ALUOUT,ALUCOUT,ALUVOUT,,,,,,
SBC,A - M - ~C -> A,A,A,RM,1,C,+,ALUOUT,ALUOUT,ALUCOUT,ALUVOUT,,,,,,
INC,M + 1 -> M,WMEM,RM,0,0,1,+,ALUOUT,ALUOUT,,,,,,,,
INX,X + 1 -> X,X,X,0,0,1,+,ALUOUT,ALUOUT,,,,,,,,
INY,Y + 1 -> Y,Y,Y,0,0,1,+,ALUOUT,ALUOUT,,,,,,,,
DEC,M - 1 -> M,WMEM,RM,0,1,0,+,ALUOUT,ALUOUT,,,,,,,,
DEX,X - 1 -> X,X,X,0,1,0,+,ALUOUT,ALUOUT,,,,,,,,
DEY,Y - 1 -> Y,Y,Y,0,1,0,+,ALUOUT,ALUOUT,,,,,,,,
ASLA,C <- 7 6 5 4 3 2 1 0 <- 0,A,A,,,0,<<,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
ASL,C <- 7 6 5 4 3 2 1 0 <- 0,WMEM,RM,,,0,<<,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
LSRA,0 -> 7 6 5 4 3 2 1 0 -> C,A,A,,,0,>>,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
LSR,0 -> 7 6 5 4 3 2 1 0 -> C,WMEM,RM,,,0,>>,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
ROLA,C <- 7 6 5 4 3 2 1 0 <- C,A,A,,,C,<<,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
ROL,C <- 7 6 5 4 3 2 1 0 <- C,WMEM,RM,,,C,<<,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
RORA,C -> 7 6 5 4 3 2 1 0 -> C,A,A,,,C,>>,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
ROR,C -> 7 6 5 4 3 2 1 0 -> C,WMEM,RM,,,C,>>,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
AND,A & M -> A,A,A,RM,0,,&,ALUOUT,ALUOUT,,,,,,,,
OR,A | M -> A,A,A,RM,0,,|,ALUOUT,ALUOUT,,,,,,,,
EOR,A ^ M -> A,A,A,RM,0,,^,ALUOUT,ALUOUT,,,,,,,,
CMP,A - M,,A,RM,1,1,+,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
CPX,X - M,,X,RM,1,1,+,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
CPY,Y - M,,Y,RM,1,1,+,ALUOUT,ALUOUT,ALUCOUT,,,,,,,
BIT,A & M ,,A,RM,0,,&,ALUOUT,ALUOUT,,ALUVOUT,,,,,,
BCC,Branch if C = 0,,,,,,,,,,,,,,C,1,
BCS,Branch if C = 1,,,,,,,,,,,,,,C,0,
BEQ,Branch if Z = 1,,,,,,,,,,,,,,Z,0,
BMI,Branch if N = 1,,,,,,,,,,,,,,N,0,
BNE,Branch if Z = 0,,,,,,,,,,,,,,Z,1,
BPL,Branch if N = 0,,,,,,,,,,,,,,N,1,
BVC,Branch if V = 0,,,,,,,,,,,,,,V,1,
BVS,Branch if V = 1,,,,,,,,,,,,,,V,0,
TAX,A -> X,X,A,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
TXA,X -> A,A,X,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
TAY,A -> Y,Y,A,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
TYA,Y -> A,A,Y,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
TSX,S -> X,X,S,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
TXS,X -> S,SP,X,0,0,0,+,,,,,,,,,,
PHA,A -> M[S],,,,,,,,,,,,,,,,A
PLA,M[S] -> A,A,RM,0,0,0,+,ALUOUT,ALUOUT,,,,,,,,
PHP,P -> M[S],,,,,,,,,,,,,,,,Status
PLP,M[S] -> P,Status,RM,0,0,0,+,,,,,,,,,,
SEC,1 -> C,,,,,,,,,1,,,,,,,
SED,1 -> D,,,,,,,,,,,,,1,,,
SEI,1 -> I,,,,,,,,,,,1,,,,,
CLC,0 -> C,,,,,,,,,0,,,,,,,
CLD,0 -> D,,,,,,,,,,,,,0,,,
CLI,0 -> I,,,,,,,,,,,0,,,,,
CLV,0 -> V,,,,,,,,,,0,,,,,,
NOP,No Operation,,,,,,,,,,,,,,,,
