,ADDRLOSRC,ADDRHISRC,R/W,WMEMSRC,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,SPSRC,PCLOSRC,PCHISRC,Status,INCPC,OPCODECTRL,STARTFETCH,STARTDECODE,CSKIP,Stop uCode
BRK,SP,1,W,PCHI,SP,0,1,0,+,,,,,0,0,,,,
,ALUOUT,1,W,PCLO,ALUOUT,0,1,0,+,ALUOUT,,,,0,0,,,,
,ALUOUT,1,W,status_brk,ALUOUT,0,1,0,+,ALUOUT,,,,0,0,,,,
,BRKLO,FF,R,,,,,,,ALUOUT,,,,0,0,,,,
,BRKHI,FF,R,,,,,,,,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
RTI,SP,1,R,,SP,0,0,1,+,,,,,0,0,,,,
,ALUOUT,1,R,,ALUOUT,0,0,1,+,ALUOUT,,,,0,0,,,,
,ALUOUT,1,R,,ALUOUT,0,0,1,+,ALUOUT,,,RMEM,0,0,,,,
,ALUOUT,1,R,,,,,,,ALUOUT,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
RTS,SP,1,R,,SP,0,0,1,+,,,,,0,0,,,,
,ALUOUT,1,R,,ALUOUT,0,0,1,+,ALUOUT,,,,0,0,,,,
,ALUOUT,1,R,,,,,,,ALUOUT,RMEM,,,0,0,,,,
,PCLO,RMEM,R,,,,,,,,,RMEM,,1,0,1,,,1
PH,SP,1,W,instr_store,SP,0,1,0,+,,,,,0,0,1,,,
,,,,,,,,,,ALUOUT,,,,0,0,,,,1
PL,SP,1,R,,SP,0,0,1,+,,,,,0,0,,,,
,ALUOUT,1,R,,,,,,,ALUOUT,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
JSR,SP,1,R,,,,,,,,,,,0,0,,,,
,SP,1,W,PCHI,SP,0,1,0,+,,,,,0,0,,,,
,ALUOUT,1,W,PCLO,ALUOUT,0,1,0,+,ALUOUT,,,,0,0,,,,
,PCLO,PCHI,R,,,,,,,ALUOUT,RMEM_BUFFER,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
IMP,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ACC,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
IMM,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ABSJMP,PCLO,PCHI,R,,,,,,,,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
ABSR,PCLO,PCHI,R,,,,,,,,,,,1,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,1,,,
,,,,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,,,,0,2,,,,1
ABSRMW,PCLO,PCHI,R,,,,,,,,,,,1,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,,,,
