instr,,ALUOUTDST,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,ZEROSRC,NEGSRC,CARSRC,OVRSRC,INTSRC,BRKSRC,DECSRC,BRANCHBIT,BRANCHINV,STORE
LDA,M -> A,A,RMEM,0,0,0,+,alu,alu,,,,,,,,
LDX,M -> X,X,RMEM,0,0,0,+,alu,alu,,,,,,,,
LDY,M -> Y,Y,RMEM,0,0,0,+,alu,alu,,,,,,,,
STA,A -> M,,,,,,,,,,,,,,,,A
STX,X -> M,,,,,,,,,,,,,,,,X
STY,Y -> M,,,,,,,,,,,,,,,,Y
ADC,A + M + C -> A,A,A,RMEM,0,C,+,alu,alu,alu,alu,,,,,,
SBC,A - M - ~C -> A,A,A,RMEM,1,C,+,alu,alu,alu,alu,,,,,,
INC,M + 1 -> M,WMEM,RMEM,0,0,1,+,alu,alu,,,,,,,,
INX,X + 1 -> X,X,X,0,0,1,+,alu,alu,,,,,,,,
INY,Y + 1 -> Y,Y,Y,0,0,1,+,alu,alu,,,,,,,,
DEC,M - 1 -> M,WMEM,RMEM,0,1,0,+,alu,alu,,,,,,,,
DEX,X - 1 -> X,X,X,0,1,0,+,alu,alu,,,,,,,,
DEY,Y - 1 -> Y,Y,Y,0,1,0,+,alu,alu,,,,,,,,
ASLA,C <- 7 6 5 4 3 2 1 0 <- 0,A,A,,,0,<<,alu,alu,alu,,,,,,,
ASL,C <- 7 6 5 4 3 2 1 0 <- 0,WMEM,RMEM,,,0,<<,alu,alu,alu,,,,,,,
LSRA,0 -> 7 6 5 4 3 2 1 0 -> C,A,A,,,0,>>,alu,alu,alu,,,,,,,
LSR,0 -> 7 6 5 4 3 2 1 0 -> C,WMEM,RMEM,,,0,>>,alu,alu,alu,,,,,,,
ROLA,C <- 7 6 5 4 3 2 1 0 <- C,A,A,,,C,<<,alu,alu,alu,,,,,,,
ROL,C <- 7 6 5 4 3 2 1 0 <- C,WMEM,RMEM,,,C,<<,alu,alu,alu,,,,,,,
RORA,C -> 7 6 5 4 3 2 1 0 -> C,A,A,,,C,>>,alu,alu,alu,,,,,,,
ROR,C -> 7 6 5 4 3 2 1 0 -> C,WMEM,RMEM,,,C,>>,alu,alu,alu,,,,,,,
AND,A & M -> A,A,A,RMEM,0,,&,alu,alu,,,,,,,,
ORA,A | M -> A,A,A,RMEM,0,,|,alu,alu,,,,,,,,
EOR,A ^ M -> A,A,A,RMEM,0,,^,alu,alu,,,,,,,,
CMP,A - M,,A,RMEM,1,1,+,alu,alu,alu,,,,,,,
CPX,X - M,,X,RMEM,1,1,+,alu,alu,alu,,,,,,,
CPY,Y - M,,Y,RMEM,1,1,+,alu,alu,alu,,,,,,,
BIT,A & M ,,A,RMEM,0,,&,alu,RMEM_BUFFER,,RMEM_BUFFER,,,,,,
BCC,Branch if C = 0,,,,,,,,,,,,,,C,1,
BCS,Branch if C = 1,,,,,,,,,,,,,,C,0,
BEQ,Branch if Z = 1,,,,,,,,,,,,,,Z,0,
BMI,Branch if N = 1,,,,,,,,,,,,,,N,0,
BNE,Branch if Z = 0,,,,,,,,,,,,,,Z,1,
BPL,Branch if N = 0,,,,,,,,,,,,,,N,1,
BVC,Branch if V = 0,,,,,,,,,,,,,,V,1,
BVS,Branch if V = 1,,,,,,,,,,,,,,V,0,
TAX,A -> X,X,A,0,0,0,+,alu,alu,,,,,,,,
TXA,X -> A,A,X,0,0,0,+,alu,alu,,,,,,,,
TAY,A -> Y,Y,A,0,0,0,+,alu,alu,,,,,,,,
TYA,Y -> A,A,Y,0,0,0,+,alu,alu,,,,,,,,
TSX,S -> X,X,SP,0,0,0,+,alu,alu,,,,,,,,
TXS,X -> S,SP,X,0,0,0,+,,,,,,,,,,
PHA,A -> M[S],,,,,,,,,,,,,,,,A
PLA,M[S] -> A,A,RMEM,0,0,0,+,alu,alu,,,,,,,,
PHP,P -> M[S],,,,,,,,,,,,,,,,status
PLP,M[S] -> P,status,RMEM,0,0,0,+,,,,,,,,,,
SEC,1 -> C,,,,,,,,,1,,,,,,,
SED,1 -> D,,,,,,,,,,,,,1,,,
SEI,1 -> I,,,,,,,,,,,1,,,,,
CLC,0 -> C,,,,,,,,,0,,,,,,,
CLD,0 -> D,,,,,,,,,,,,,0,,,
CLI,0 -> I,,,,,,,,,,,0,,,,,
CLV,0 -> V,,,,,,,,,,0,,,,,,
